source_id,title,author_or_interviewee,publication,original_date,language,source_class,url_or_location,sections_supported,reliability_notes,status
PA-SRC-0001,Capsule Monsters — Cover and Pitch,Satoshi Tajiri / Ken Sugimori; preserved by Helix Chamber,Helix Chamber / underlying Game Freak proposal,1990 / modern scan,Japanese with English commentary,Original document mediated by archival research,https://helixchamber.com/media/capsule-monsters/capsulemonsters_01/,Capsule Monsters dating; roles; pitch contents,Only publicly disclosed pages are available; distinguish original page from modern enhancement,reviewed
PA-SRC-0002,Capsule Monsters archive,Helix Chamber,Helix Chamber,2018-,English with Japanese source images,Serious archival research,https://helixchamber.com/media/capsule-monsters/,Capsule Monsters artifact census; dating cautions,Secondary interpretation built on disclosed primary images,reviewed
PA-SRC-0003,Game Freak origin interview,Ken Sugimori and Tetsuya Watanabe,4Gamer,2013-10-08,Japanese,Retrospective participant interview,https://www.4gamer.net/games/226/G022607/20131007064/,Fanzine; Quinty; Namco; company formation,Participant testimony decades after events; requires contemporary corroboration,reviewed
PA-SRC-0004,Iwata Asks: Pokémon HeartGold and SoulSilver,Tsunekazu Ishihara and colleagues,Nintendo,2009,Japanese,Official retrospective participant interview,https://www.nintendo.co.jp/ds/interview/ipkj/vol1/index2.html,Development and early product chronology,Edited corporate retrospective; cross-check exact claims,in review
PA-SRC-0005,Interview with Satoshi Tajiri,Satoshi Tajiri,TIME Asia,1999-11-22,English,Contemporary participant interview,https://pokedream.com/pokemon/infocenter/tajiri.php,Childhood; insects; arcades; Game Freak fanzine; creative influences,Preserved transcript on a fan archive; compare against the original TIME issue,reviewed
PA-SRC-0006,Pocket Monsters development staff interview,Ken Sugimori; Junichi Masuda; Tetsuya Watanabe; Koji Nishino; Shigeki Morimoto,Nintendo Online Magazine,2000-07,Japanese,Official retrospective participant interview,https://dogasu.bulbagarden.net/features/books_magazines/pokemon_in_1996_developers_interview.html,Link cable; collaborative design; roster size; Pokédex development,Original Nintendo URL is offline; translation must be checked against a Wayback copy,in review
PA-SRC-0007,Creating the Game,Ken Sugimori et al.; translated by GlitterBerri,Nintendo Online Magazine / GlitterBerri,2000-07 / translation 2011,Japanese/English,Translation of official retrospective interview,https://glitterberri.com/game-freak-staff-interview/creating-the-game/,Link cable; collaborative design; roster size; Pokédex development,Secondary translation of an official source; use alongside another translation,in review
PA-SRC-0008,田尻智ポケモンを創った男,宮昌太朗 and 田尻智,太田出版,2004-03,Japanese,Retrospective interview book,ISBN 9784872338331,Tajiri biography; 1980s; 1990s; Tajiri-Sugimori dialogue,Requires physical or scanned page-level review before quoting,located
PA-SRC-0009,ポケモン・ストーリー,畠山けんじ and 久保雅一,日経BP,2000-12-10,Japanese,Near-contemporary corporate/journalistic history,Physical book / library record,Launch growth; licensing; anime; company history; Tajiri interview,Requires physical or scanned page-level review; participant proximity may shape narrative,located
PA-SRC-0010,Pocket Monsters Illustrated Book staff interview,Satoshi Tajiri and Game Freak staff,ASCII / Aspect,1996,Japanese,Near-contemporary participant interview in official guide,https://lavacutcontent.com/satoshi-tajiri-pokedex-interview/,Active development years; interruptions; team roles; changing systems,Modern translation must be checked against physical first printing; bibliographic records conflict on first-edition month,in review
