certification_number,official_status,source,last_checked,notes
1401012551-001,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401012551-002,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401012551-003,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401012551-004,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030136-001,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030136-002,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030136-003,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030831-009,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030831-010,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030831-011,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030831-012,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-001,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-002,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-003,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-004,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-005,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-006,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-007,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-008,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-009,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-010,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-011,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-012,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-013,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-014,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-015,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-016,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-017,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-018,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-019,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-020,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-021,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-022,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-023,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-024,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-025,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-026,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-027,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-028,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-029,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-030,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-031,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-032,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-033,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
1401030937-034,Eligible for CGC holder review; investigation pending,https://www.cgccards.com/news/article/13730/,2026-08-16,The official notice publishes no item-level outcome or Not Genuine determination.
