"id","period","year","object","why_it_matters","target_usd_2026","difficulty_1_5","where_to_look","verification_priority","source_basis"
"PA-A001","Game Freak before Pokémon","c.1983","Original Game Freak mini-comic/fanzine issue","Physical evidence that Game Freak began as Tajiri's arcade-history and strategy publication, not a software company.","3000-20000","5","Mandarake auctions; Yahoo Japan; specialist Japanese game-paper dealers","Confirm issue number, colophon, printing method, completeness, and chain of custody.","PA-SRC-0003; PA-SRC-0005; PA-SRC-0011"
"PA-A002","Game Freak before Pokémon","1983","Game Freak Xevious special issue","Documents the publication's most famous early commercial success and Tajiri's analytic arcade culture.","5000-30000","5","Mandarake; Japanese retro-game auctions; established private collections","Require interior and colophon photographs; do not rely on a cover-only reproduction.","PA-SRC-0005"
"PA-A003","Arcade intellectual background","1978-1983","Period Japanese arcade flyer for Space Invaders or Xevious","Shows the commercial and visual environment Tajiri documented and collected.","40-300","2","Yahoo Japan; Mandarake; arcade-flyer dealers","Date by operator/distributor imprint; avoid modern reprints.","PA-SRC-0005; PA-SRC-0011"
"PA-A004","Game Freak becomes a developer","1989","Japanese Quinty Famicom cartridge with box and manual","Game Freak's self-developed proof that enabled its transition from criticism to production.","80-350","2","Suruga-ya; Mandarake; Yahoo Japan; retro-game dealers","Match cartridge, box, tray, and manual; document revision and condition separately.","PA-SRC-0003"
"PA-A005","Game Freak becomes a developer","1990","North American Mendel Palace box/manual/cartridge","The international edition of Quinty; useful for showing Game Freak's pre-Pokémon overseas reach.","120-500","2","eBay; retro-game stores; game conventions","Verify NES-USA code and original manual rather than reproduction packaging.","PA-SRC-0003"
"PA-A006","Capsule Monsters","1990","Authorized publication containing reproduced Capsule Monsters proposal pages","Museum-safe access point to the proposal when originals are institutional/private and unavailable.","30-250","2","Japanese book dealers; Mandarake; AbeBooks; publisher back stock","Record publication, page numbers, scan origin, and whether images are enhanced.","PA-SRC-0001; PA-SRC-0002"
"PA-A007","Capsule Monsters","1990","Period Game Boy DMG hardware with link cable","The physical affordance that made trading data between children imaginable.","100-300","1","Retro-game stores; eBay; Yahoo Japan","Prefer working units with matching-period DMG-04 cable; display without claiming Game Freak used these exact units.","PA-SRC-0006; PA-SRC-0007"
"PA-A008","Development interruption","1991","Japanese Yoshi no Tamago complete in box","A paid Nintendo project Tajiri said helped finance and train Game Freak during Pokémon's pause.","30-120","1","Suruga-ya; Mandarake; Yahoo Japan","Confirm Japanese Game Boy or Famicom edition and complete credits/manual.","PA-SRC-0011"
"PA-A009","Development interruption","1993","Mario & Wario Super Famicom complete in box","Documents the commercial work completed during Pokémon's interrupted incubation.","40-160","1","Suruga-ya; Mandarake; Yahoo Japan","Confirm original mouse-compatible Japanese release; retain manual credits.","PA-SRC-0011"
"PA-A010","Development culture","1994","Pulseman Japanese Mega Drive complete in box","Shows the design and technical culture of Game Freak immediately before Red/Green completion.","350-1200","3","Mandarake; Yahoo Japan; specialist Mega Drive dealers","Check cartridge board, label, registration card, and manual.","Contextual; staff-credit verification pending"
