image_id,what_is_pictured,original_creator,approximate_date,original_publication_or_object,current_digital_source,higher_resolution_status,rights_status,verification_note
PA-IMG-001,Capsule Monsters proposal cover,Satoshi Tajiri planning; Ken Sugimori illustration per archival attribution,1990,Game Freak Capsule Monsters proposal booklet,https://helixchamber.com/wp-content/uploads/2018/08/1990_Capsule_Monsters_00_Cover_reg.png,Helix image is a modern processed scan; underlying master not public,Copyrighted; commercial reuse not cleared,Verify against NHK frame and any authorized book reproduction
PA-IMG-002,Capsule Monsters Kanto layout map,Game Freak; individual drafter unresolved,1990,Game Freak Capsule Monsters proposal booklet,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_00_map_reg.png,Helix image is a modern processed scan; underlying master not public,Copyrighted; commercial reuse not cleared,Visible date is central evidence; preserve unprocessed source if located
PA-IMG-003,Capsule Monsters sprite sheet,Game Freak graphics staff; individuals unresolved,1990 compilation context,Game Freak development/proposal material,https://helixchamber.com/wp-content/uploads/2018/12/CAPUMON_SPRITESHEET2_final.png,Modern enhancement available; original sheet and broadcast master unavailable,Copyrighted; commercial reuse not cleared,Do not label every sprite 1990 without page-level dating
PA-IMG-004,Red and Green Japanese package art,Nintendo / Game Freak; printed credits require physical review,1996,Japanese retail boxes and cartridge labels,https://www.pokemon.co.jp/game/other/gb-rg/,Official web reproductions exist; physical high-resolution capture recommended,Copyrighted official product imagery,Photograph complete boxes including inserts and production codes
PA-IMG-005,CoroCoro Mew offer pages,Shogakukan editorial and design staff,1996,CoroCoro Comic May 1996 issue,https://corocoro-news.jp/news/49271/,Publisher retrospective includes page imagery; obtain physical 1996 issue scan,Copyrighted magazine pages; permission required for extensive reuse,Record cover date publication date page number and insert/application context
PA-IMG-006,Carddass Part 1 and 2 advertisement,Bandai and Shogakukan,1996,CoroCoro Comic October 1996 issue page 154,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Carddass_Part_1,Collector scans exist; physical flat scan recommended,Copyrighted advertisement; commercial reuse not cleared,Primary text gives late-September and early-October windows
PA-IMG-007,Carddass Part 1 vending header,Bandai,1996,Carddass vending-machine display,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Carddass_Part_1,Reference photographs exist; acquire and photograph original at scale,Copyrighted design on surviving commercial artifact,Header is primary evidence for checklist color variants price and machine context
PA-IMG-008,First Pokemon Center Tokyo opening flyer,Pokemon Center Co. / designer unresolved,1998,Opening handbill,https://trance-cell.com/db/ghahey98aha/,Archive scan viewable; physical item and scan master not documented,Copyrighted promotional artwork; archive permission needed,Verify physical dimensions printing and provenance before exhibition
PA-IMG-009,ANA Pokemon Jet and cabin program,ANA / licensed design team unresolved,1998,ANA corporate press release and service materials,https://www.ana.co.jp/pr/980406-J/980603.html,Press-page assets may be limited; seek ANA archive photographs,Copyrighted corporate and character imagery,Separate aircraft photos from cups headrests aprons and timetable artifacts
PA-IMG-010,1997 JR East Stamp Rally reward folder and cards,JR East / licensors; card artists require item credits,1997,Thirty-station completion prize,https://pokeboon.com/jp/promo_event/jr-east-japan-pokemon-stamp-rally/,Collector photographs available; new object photography preferred,Copyrighted; owner photo rights separate from object copyright,Preserve folder Surfing Pikachu and Mew as one provenanced group
PA-IMG-011,Pokemon Center corporate-history milestone images,The Pokemon Company,1996 onward,Corporate chronology,https://corporate.pokemon.co.jp/aboutus/history/,Official digital assets available; originals vary,Copyrighted official media,Use as orientation only and trace each pictured artifact to original source
PA-IMG-012,1997 television photosensitivity incident coverage,News photographers and broadcasters vary,1997,Contemporary newspapers broadcast reports and official investigation,https://www.japantimes.co.jp/news/1997/12/24/national/tv-tokyo-apologizes-to-diet-over-injurious-animation/,Archive quality varies,Copyrighted news/broadcast imagery; hazardous animation should not autoplay,Prefer newspaper front page network apology and safety guideline over sensational replay stills
PA-IMG-013,Early Pokemon Bread wrapper and Deco Character sticker,Daiichi Pan / licensed designers unresolved,1998,First-wave retail packaging and insert,https://www.daiichipan.co.jp/pokemonpan/,Current site does not preserve a complete 1998 image set; physical object needed,Copyrighted packaging and character imagery,Do not illustrate 1998 history with a current wrapper without labeling it
PA-IMG-014,Showa Note early Pokemon stationery,Showa Note / licensed illustrators unresolved,1997 onward,Notebook pencil case coloring and craft product range,https://prtimes.jp/main/html/rd/p/000000002.000015458.html,2015 release lacks a first-wave census; manufacturer archive inquiry needed,Copyrighted product design and character imagery,Date from product codes catalogs and retail advertisements
PA-IMG-015,CGC prototype and playtest certification holders,CGC and underlying card designers/printers disputed,2023-25 market objects,CGC holders recalled in investigation,https://www.cgccards.com/news/article/13730/,Certification images vary by auction; preserve full front back and microscopic scans,Mixed rights; card design holder label and auction photo have separate owners,Never use a holder label as sole proof of 1995-96 physical manufacture
