artifact_id,title_or_description,approximate_date,creator_or_originator,historical_object,current_image_source,publication_or_disclosure_history,what_it_tells_us,confidence,rights_or_display_note
PA-CM-001,The Proposal That Became Pokémon,1990,Satoshi Tajiri planning and production; Ken Sugimori illustration per archive attribution,Proposal booklet cover,https://helixchamber.com/wp-content/uploads/2018/08/1990_Capsule_Monsters_00_Cover_reg.png,Game Freak proposal shown through later broadcast and archival reproduction,The cover of Game Freak’s 1990 proposal for the game that became Pokémon. At the time the project was called Capsule Monsters.,Verified for depicted page and date; mediated scan,Copyrighted development document; seek permission or rely on limited scholarly display
PA-CM-002,Opening pitch or concept statement,1990 proposal state,Game Freak; individual page authorship not independently verified,Proposal booklet pitch page,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_00b_pitch_reg.png,Later public disclosure and Helix Chamber preservation,How the project was verbally framed for its recipient,Verified as disclosed proposal page; translation requires Japanese audit,Copyrighted development document; retain original Japanese beside translation
PA-CM-003,Kanto layout map,1990,Game Freak; individual drafter unresolved,Proposal world-layout page,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_00_map_reg.png,Later public disclosure and Helix Chamber preservation,Early regional layout and dated proposal state,Verified for page and visible date; precise labels require transcription,Copyrighted development document
PA-CM-004,Prototype Kanto landscape with annotations,1990 proposal context,Game Freak; individual drafter unresolved,Annotated environment concept page,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Landscape_proto_kanto_text.png,Later public disclosure and Helix Chamber preservation,Translation from route-scale map to imagined physical environment,High that image belongs to disclosed corpus; drawing date within compilation unresolved,Copyrighted development document
PA-CM-005,Town landscape study,1990 proposal context,Game Freak; individual illustrator unresolved,Environment concept art,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Landscape_Town_reg.png,Later public disclosure and Helix Chamber preservation,Early settlement scale and visual tone,High for corpus membership; authorship and exact date unresolved,Copyrighted development document
PA-CM-006,Cave environment study,1990 proposal context,Game Freak; individual illustrator unresolved,Environment concept art,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Cave_reg.png,Later public disclosure and Helix Chamber preservation,Exploration-space concept outside towns,High for corpus membership; authorship and exact date unresolved,Copyrighted development document
PA-CM-007,Hotel exterior or facility concept,1990 proposal context,Game Freak; individual illustrator unresolved,Facility concept art,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Hotel_reg.png,Later public disclosure and Helix Chamber preservation,An early service-building concept later altered or discarded,High for corpus membership; function translation requires Japanese audit,Copyrighted development document
PA-CM-008,Hotel trading scene,1990 proposal context,Game Freak; individual illustrator unresolved,Trading-system concept page,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Hotel_Trading_reg.png,Later public disclosure and Helix Chamber preservation,Trading imagined as an in-world social activity rather than only a menu,High for corpus membership; precise mechanic and labels require Japanese audit,Copyrighted development document
PA-CM-009,Mart or shop concept,1990 proposal context,Game Freak; individual illustrator unresolved,Facility or transaction concept page,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Mart_reg.png,Later public disclosure and Helix Chamber preservation,Early retail and item-economy concept,High for corpus membership; precise labels require Japanese audit,Copyrighted development document
PA-CM-010,Monster battle illustration,1990 proposal context,Ken Sugimori attributed for proposal illustration; item-level signature not verified,Battle concept illustration,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_monster_battle_reg.png,Later public disclosure and Helix Chamber preservation,Scale and dramatic framing of creature combat,High for corpus membership; item-level authorship probable not proved,Copyrighted development document
PA-CM-011,Monster capsule or capture illustration,1990 proposal context,Game Freak; individual illustrator unresolved,Capture concept illustration,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_monster_capsule_reg.png,Later public disclosure and Helix Chamber preservation,Capsule terminology and capture visualization before final Poké Ball system,High for corpus membership; exact mechanic requires translated text,Copyrighted development document
PA-CM-012,Gameplay sequence page 1,1990 proposal context,Game Freak; individual drafter unresolved,Gameplay storyboard or mockup,https://helixchamber.com/wp-content/uploads/2018/09/1990_Capsule_Monsters_Gameplay_01_smal.png,Later public disclosure and Helix Chamber preservation,Early attempt to connect concept art to player action,High for corpus membership; sequence order and labels require Japanese audit,Copyrighted development document
