sku,game,name,set,number,year,language,edition,rarity,finish,artist,condition,price,marketPrice,marketSource,pricingRule,frontImage,backImage,inventoryLocation,status,sourceSetCode,sourceScanId,rawBack,rawFront,notes,offerId,listingId,ebayUrl
PA-11596,Pokemon TCG,Nymble,Inferno X,082/080,2025,Japanese,Unlimited,Art Rare,Holofoil,Nakamura Ippan,Near Mint,4.99,1.36,https://guardiantcg.app/pokemon-jp/m2-inferno-x/nymble-082-080,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11596_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11596_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11596,batch-MTG0013b.- card.jpeg,batch-MTG0013b.- card 1.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864156011,158265511861,https://www.ebay.com/itm/158265511861
PA-11597,Pokemon TCG,Probopass,Crimson Haze,076/066,2024,Japanese,Unlimited,Art Rare,Holofoil,Kariya,Near Mint,4.99,2.02,https://guardiantcg.app/sets/sv5a-crimson-haze-pokemon-japan/most-valuable,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11597_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11597_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11597,batch-MTG0013b.- card 2.jpeg,batch-MTG0013b.- card 3.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864157011,158265511863,https://www.ebay.com/itm/158265511863
PA-11598,Pokemon TCG,Ethan's Magcargo,MEGA Dream ex,197/193,2025,Japanese,Unlimited,Art Rare,Holofoil,Hideki Ishikawa,Near Mint,4.99,1.63,https://guardiantcg.app/pokemon-jp/m2a-high-class-pack-mega-dream-ex/ethan-s-magcargo-197-193/sold,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11598_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11598_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11598,batch-MTG0013b.- card 4.jpeg,batch-MTG0013b.- card 5.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864158011,158265511862,https://www.ebay.com/itm/158265511862
PA-11599,Pokemon TCG,Passimian,Silver Tempest Trainer Gallery,TG08/TG30,2022,English,Unlimited,Ultra Rare,Holofoil,nagimiso,Near Mint,3.49,1.52,https://www.tcgplayer.com/product/452022/pokemon-swsh12-silver-tempest-trainer-gallery-passimian,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11599_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11599_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11599,batch-MTG0013b.- card 6.jpeg,batch-MTG0013b.- card 7.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864173011,158265511851,https://www.ebay.com/itm/158265511851
PA-11600,Pokemon TCG,Team Rocket's Wobbuffet,The Glory of Team Rocket,103/098,2025,Japanese,Unlimited,Art Rare,Holofoil,Saboteri,Near Mint,6.99,5.11,https://www.pricecharting.com/game/pokemon-japanese-glory-of-team-rocket/team-rocket%27s-wobbuffet-103,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11600_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11600_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11600,batch-MTG0013b.- card 8.jpeg,batch-MTG0013b.- card 9.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864174011,158265511844,https://www.ebay.com/itm/158265511844
PA-11601,Pokemon TCG,Watchog,Chaos Rising,097/086,2026,English,Unlimited,Illustration Rare,Holofoil,MARINA Chikazawa,Near Mint,4.99,1.38,https://thelabtcg.com/card/693560%3AHolofoil,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11601_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11601_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11601,batch-MTG0013b.- card 10.jpeg,batch-MTG0013b.- card 11.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864176011,158265511867,https://www.ebay.com/itm/158265511867
PA-11602,Pokemon TCG,Team Rocket's Dugtrio,MEGA Dream ex,206/193,2025,Japanese,Unlimited,Art Rare,Holofoil,Whisker,Near Mint,4.99,2.05,https://guardiantcg.app/pokemon-jp/sv10-the-glory-of-team-rocket/team-rocket-s-orbeetle-104-098/similar?id=240083,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11602_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11602_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11602,batch-MTG0013b.- card 12.jpeg,batch-MTG0013b.- card 13.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864210011,158265511860,https://www.ebay.com/itm/158265511860
PA-11603,Pokemon TCG,Medicham,MEGA Dream ex,207/193,2025,Japanese,Unlimited,Art Rare,Holofoil,KEIICHIRO ITO,Near Mint,4.99,1.25,https://guardiantcg.app/pokemon-jp/stellar-miracle/medicham-ex-120/similar,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11603_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11603_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11603,batch-MTG0013b.- card 14.jpeg,batch-MTG0013b.- card 15.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864209011,158265511846,https://www.ebay.com/itm/158265511846
PA-11604,Pokemon TCG,Heliolisk,MEGA Dream ex,201/193,2025,Japanese,Unlimited,Art Rare,Holofoil,Takeshi Nakamura,Near Mint,4.99,0.99,https://guardiantcg.app/pokemon-jp/m2a-high-class-pack-mega-dream-ex/heliolisk-201-193,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11604_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11604_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11604,batch-MTG0013b.- card 16.jpeg,batch-MTG0013b.- card 17.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864212011,158265511848,https://www.ebay.com/itm/158265511848
PA-11605,Pokemon TCG,Team Rocket's Spidops,The Glory of Team Rocket,099/098,2025,Japanese,Unlimited,Art Rare,Holofoil,NC Empire,Near Mint,4.99,2.45,https://guardiantcg.app/sets/sv10-the-glory-of-team-rocket-pokemon-japan/price-guide,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11605_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11605_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11605,batch-MTG0013b.- card 18.jpeg,batch-MTG0013b.- card 19.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864248011,158265511843,https://www.ebay.com/itm/158265511843
